,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,total_mn,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,total_em,Age_tier,distancehome_tier,MonthlyIncome_tier
620,42,0,0,1,5,4,3,1,5,7,1,170460,7.0,11,0,10.0,3,4,0,3,2,3,2.5,4.0,1.0,4.0,3.0,2,4,5
621,60,0,2,2,2,2,1,1,2,7,0,25640,0.0,14,1,12.0,3,11,1,9,3,3,3.0,2.0,4.0,3.0,3.0,3,4,2
622,32,0,1,2,10,3,1,0,1,7,1,102660,1.0,11,0,2.0,3,2,2,2,3,3,3.0,3.0,2.0,3.0,2.6666666666666665,1,3,5
623,32,0,1,1,9,3,1,0,2,6,2,50700,4.0,12,1,10.0,6,8,0,7,3,3,3.0,4.0,3.0,3.0,3.3333333333333335,1,3,3
624,36,0,2,2,3,2,2,1,4,0,0,178610,2.0,18,0,17.0,2,7,7,7,2,3,2.5,3.0,1.0,3.0,2.3333333333333335,1,4,5
625,33,0,2,2,26,2,2,1,1,6,1,42300,0.0,12,0,15.0,0,14,4,10,3,3,3.0,1.0,4.0,3.0,2.6666666666666665,1,1,3
626,40,0,2,1,1,3,3,0,2,6,0,37800,7.0,12,0,7.0,2,5,1,3,1,3,2.0,2.0,2.0,4.0,2.6666666666666665,1,4,3
627,25,0,2,1,6,2,3,0,1,2,2,27680,0.0,22,1,5.0,0,4,1,1,3,4,3.5,3.0,4.0,3.0,3.3333333333333335,0,3,2
628,30,0,2,2,9,3,2,0,1,6,1,90710,0.0,19,1,12.0,2,11,5,7,2,3,2.5,4.0,2.0,3.0,3.0,0,3,4
629,42,0,1,0,8,2,3,1,1,7,1,106480,3.0,13,1,20.0,1,1,0,0,3,3,3.0,1.0,1.0,3.0,1.6666666666666667,2,3,5
630,35,0,0,1,1,1,1,1,2,7,1,136100,4.0,22,2,16.0,4,13,4,12,2,4,3.0,3.0,4.0,2.0,3.0,1,4,5
631,27,0,2,1,7,3,1,1,3,4,1,34080,1.0,24,0,9.0,2,9,6,8,3,4,3.5,1.0,1.0,2.0,1.3333333333333333,0,3,2
632,54,0,1,1,9,2,3,1,2,8,0,29830,7.0,14,1,33.0,2,5,1,4,2,3,2.5,4.0,3.0,1.0,2.6666666666666665,3,3,2
633,44,0,2,0,4,4,1,1,5,2,1,76320,1.0,21,0,10.0,3,10,7,7,3,4,3.5,1.0,4.0,3.0,2.6666666666666665,2,4,4
634,19,1,0,2,2,2,4,1,3,0,2,98240,1.0,18,0,1.0,2,1,0,0,3,3,3.0,1.0,2.0,4.0,2.3333333333333335,4,4,4
635,29,0,2,1,19,4,1,1,1,4,0,99500,1.0,20,0,3.0,3,3,1,2,3,4,3.5,1.0,4.0,3.0,2.6666666666666665,0,2,4
636,54,0,2,1,9,4,1,1,2,7,1,20930,3.0,19,0,36.0,2,10,0,9,3,3,3.0,4.0,4.0,3.0,3.6666666666666665,3,3,1
637,31,0,2,1,21,3,1,1,2,2,1,99800,1.0,12,0,6.0,1,6,0,1,3,3,3.0,3.0,1.0,2.0,2.0,1,1,4
638,31,0,2,2,24,1,2,0,1,7,2,38940,1.0,12,0,10.0,3,10,1,8,4,3,3.5,3.0,1.0,3.0,2.3333333333333335,1,1,3
639,59,0,2,1,3,4,5,1,1,6,2,40510,5.0,16,3,13.0,3,6,0,5,3,3,3.0,3.0,4.0,3.0,3.3333333333333335,3,4,3
640,43,0,2,1,11,2,1,1,3,2,1,168350,3.0,17,1,25.0,3,8,0,7,3,3,3.0,3.0,4.0,3.0,3.3333333333333335,2,2,5
641,49,0,2,2,14,4,1,1,2,6,1,62300,2.0,14,0,23.0,2,1,0,0,2,3,2.5,1.0,3.0,4.0,2.6666666666666665,2,2,4
642,36,0,1,2,5,2,2,0,1,2,1,47170,1.0,19,1,12.0,3,11,0,7,3,3,3.0,3.0,2.0,2.0,2.3333333333333335,1,4,3
643,48,0,2,1,1,4,1,0,2,2,2,132370,5.0,13,1,7.0,2,1,0,0,4,3,3.5,4.0,2.0,2.0,2.6666666666666665,2,4,5
644,27,0,2,1,6,4,1,1,2,2,0,37550,1.0,19,0,5.0,2,5,0,3,3,3,3.0,1.0,3.0,3.0,2.3333333333333335,0,3,3
645,29,0,2,2,17,4,3,1,1,2,0,65820,1.0,19,1,6.0,3,6,1,0,3,3,3.0,3.0,4.0,3.0,3.3333333333333335,0,2,4
646,48,0,2,2,1,1,2,1,2,4,2,74060,6.0,14,2,25.0,2,1,0,0,3,3,3.0,4.0,4.0,4.0,4.0,2,4,4
648,34,0,2,2,9,4,3,0,2,2,1,27410,0.0,15,1,2.0,3,1,0,0,3,3,3.0,3.0,3.0,2.0,2.6666666666666665,1,3,2
649,44,0,2,1,4,3,1,0,1,2,1,42620,7.0,18,0,26.0,2,22,3,10,3,3,3.0,2.0,2.0,3.0,2.3333333333333335,2,4,3
650,33,0,2,1,8,2,1,0,2,6,0,161840,0.0,13,1,10.0,2,9,0,8,4,3,3.5,4.0,3.0,3.0,3.3333333333333335,1,3,5
651,19,0,2,2,2,4,2,1,3,2,2,115570,1.0,22,0,1.0,0,1,0,1,3,4,3.5,2.0,4.0,3.0,3.0,4,4,5
652,23,0,2,2,2,3,3,1,3,2,1,18780,1.0,13,1,1.0,2,1,0,1,3,3,3.0,4.0,3.0,3.0,3.3333333333333335,0,4,1
653,25,1,1,1,1,1,1,1,1,4,2,109320,1.0,11,1,1.0,3,1,1,0,3,3,3.0,3.0,4.0,3.0,3.3333333333333335,0,4,5
654,26,0,2,0,9,3,1,1,2,6,2,68110,1.0,11,1,8.0,4,8,2,2,3,3,3.0,3.0,4.0,2.0,3.0,0,3,4
655,45,1,2,0,12,3,0,1,2,2,2,43060,2.0,11,2,26.0,3,24,1,11,3,3,3.0,1.0,2.0,3.0,2.0,2,2,3
656,55,0,0,1,27,3,1,0,2,3,0,48590,1.0,24,1,34.0,3,33,15,0,4,4,4.0,4.0,2.0,3.0,3.0,3,1,3
657,21,1,1,1,20,2,3,0,4,6,2,53370,1.0,14,1,2.0,2,2,2,2,3,3,3.0,1.0,3.0,1.0,1.6666666666666667,0,2,3
658,46,0,2,1,1,4,1,1,1,4,1,23400,2.0,13,1,26.0,2,11,0,8,1,3,2.0,4.0,2.0,3.0,3.0,2,4,1
659,34,0,2,2,13,4,3,1,3,8,2,74910,0.0,14,1,4.0,3,3,0,2,2,3,2.5,3.0,1.0,3.0,2.3333333333333335,1,2,4
660,51,0,1,1,14,3,1,1,2,5,0,105270,4.0,14,0,31.0,3,29,11,10,3,3,3.0,4.0,2.0,2.0,2.6666666666666665,3,2,5
661,59,0,2,1,4,2,1,1,2,6,2,165950,6.0,21,1,25.0,2,9,5,4,3,4,3.5,4.0,4.0,2.0,3.3333333333333335,3,4,5
662,34,0,1,2,14,4,3,0,3,6,0,88340,4.0,13,1,15.0,1,11,5,10,3,3,3.0,3.0,2.0,4.0,3.0,1,2,4
663,28,0,1,1,2,3,4,0,1,3,2,55770,0.0,19,0,5.0,3,4,0,2,3,3,3.0,4.0,3.0,2.0,3.0,0,4,3
664,44,0,2,1,3,4,1,1,2,6,0,47070,1.0,17,0,26.0,4,25,14,13,1,3,2.0,3.0,1.0,2.0,2.0,2,4,3
665,34,0,1,2,1,3,1,1,2,7,1,24000,4.0,18,1,14.0,3,10,1,8,3,3,3.0,3.0,2.0,4.0,3.0,1,4,1
666,35,0,2,1,9,3,1,1,4,0,1,98240,0.0,19,0,4.0,2,3,2,2,3,3,3.0,3.0,3.0,3.0,3.0,1,3,4
667,42,0,2,1,23,4,1,0,1,3,1,64470,6.0,13,0,18.0,3,1,0,0,3,3,3.0,2.0,2.0,3.0,2.3333333333333335,2,1,4
668,43,0,2,1,7,2,3,0,1,2,2,195020,3.0,18,2,23.0,3,21,15,17,4,3,3.5,4.0,4.0,4.0,4.0,2,3,5
669,36,0,2,1,2,4,3,1,1,0,2,27250,9.0,21,1,18.0,4,16,5,12,2,4,3.0,3.0,2.0,3.0,2.6666666666666665,1,4,2
670,44,1,2,1,21,4,1,0,2,2,1,62720,1.0,19,1,10.0,3,10,0,5,3,3,3.0,1.0,4.0,3.0,2.6666666666666665,2,1,4
671,28,0,1,1,2,3,1,0,2,8,1,21270,1.0,14,0,2.0,3,2,2,2,3,3,3.0,4.0,4.0,3.0,3.6666666666666665,0,4,1
672,51,0,1,2,21,4,3,1,2,6,2,182000,0.0,17,0,8.0,3,7,7,7,3,3,3.0,2.0,3.0,2.0,2.3333333333333335,3,1,5
673,30,0,0,1,2,4,4,1,1,6,2,20960,7.0,11,3,10.0,2,8,1,7,3,3,3.0,3.0,3.0,3.0,3.0,0,4,1
674,29,1,2,1,29,4,5,0,1,8,0,28860,3.0,13,0,10.0,4,7,7,7,3,3,3.0,2.0,3.0,3.0,2.6666666666666665,0,1,2
675,28,0,2,2,1,4,1,0,2,8,2,20330,2.0,15,1,5.0,5,3,1,2,3,3,3.0,4.0,1.0,2.0,2.3333333333333335,0,4,1
676,25,0,2,1,18,2,1,1,1,6,2,36220,1.0,25,0,2.0,0,2,2,1,3,4,3.5,4.0,2.0,2.0,2.6666666666666665,0,2,3
677,32,0,2,1,10,4,4,0,1,7,1,42330,1.0,11,0,10.0,5,10,0,8,3,3,3.0,3.0,4.0,4.0,3.6666666666666665,1,3,3
678,45,0,1,1,19,3,3,1,3,2,2,36810,3.0,17,1,22.0,2,0,0,0,3,3,3.0,2.7236031927023947,2.0,3.0,2.574534397567465,2,2,3
679,39,0,2,2,29,1,2,0,1,2,0,54600,6.0,13,2,21.0,3,19,15,2,3,3,3.0,3.0,2.0,3.0,2.6666666666666665,1,1,3
680,58,0,2,1,27,3,4,1,2,2,0,21870,1.0,18,1,2.0,1,2,2,2,1,3,2.0,1.0,3.0,3.0,2.3333333333333335,3,1,1
681,32,1,2,1,5,3,5,0,1,7,1,96020,1.0,13,1,10.0,3,10,1,1,3,3,3.0,4.0,3.0,3.0,3.3333333333333335,1,4,4
682,39,1,2,1,18,2,1,1,2,2,2,28360,0.0,20,0,6.0,3,5,0,3,2,4,3.0,3.0,1.0,3.0,2.3333333333333335,1,2,2
683,30,0,2,2,9,1,2,1,4,5,1,40890,0.0,18,0,10.0,2,9,6,7,4,3,3.5,1.0,4.0,3.0,2.6666666666666665,0,3,3
684,36,0,2,2,1,3,2,1,2,7,1,166270,3.0,12,0,10.0,5,7,1,7,2,3,2.5,4.0,3.0,3.0,3.3333333333333335,1,4,5
685,46,0,2,2,4,3,3,1,1,6,2,26190,6.0,12,1,10.0,3,7,5,7,2,3,2.5,4.0,1.0,4.0,3.0,2,4,2
686,28,0,0,1,1,3,3,1,5,7,1,56790,0.0,13,0,10.0,2,9,7,5,2,3,2.5,3.0,4.0,3.0,3.3333333333333335,0,4,3
687,50,0,2,1,20,2,3,0,5,2,1,154020,4.0,21,0,25.0,3,3,1,2,2,4,3.0,4.0,1.0,3.0,2.6666666666666665,2,2,5
688,40,1,2,2,8,1,4,1,1,2,2,59850,2.0,13,3,9.0,1,5,1,0,2,3,2.5,4.0,2.0,3.0,3.0,1,3,3
689,52,1,2,1,3,2,5,1,3,2,2,25790,9.0,19,1,10.0,1,8,7,7,3,3,3.0,2.0,2.0,2.0,2.0,3,4,2
690,30,0,2,1,6,4,3,0,1,7,1,30410,1.0,11,1,9.0,2,9,0,8,2,3,2.5,2.0,1.0,3.0,2.0,0,3,2
691,39,0,2,1,26,1,3,1,2,0,2,34470,0.0,14,0,9.0,5,8,1,7,3,3,3.0,1.0,3.0,3.0,2.3333333333333335,1,1,2
692,31,0,0,1,1,2,3,1,1,7,0,195130,1.0,12,1,10.0,1,10,9,6,2,3,2.5,4.0,3.0,2.0,3.0,1,4,5
693,41,0,0,2,6,3,1,0,1,5,2,27730,1.0,11,0,19.0,3,19,11,9,3,3,3.0,3.0,2.0,3.0,2.6666666666666665,2,3,2
694,31,1,1,1,3,1,1,1,1,7,2,71040,1.0,14,1,3.0,3,3,2,2,3,3,3.0,4.0,2.0,4.0,3.3333333333333335,1,4,4
695,44,1,2,2,5,3,1,1,1,2,1,63220,4.0,11,1,10.0,2,3,1,2,3,3,3.0,1.0,1.0,4.0,2.0,2,4,4
696,42,0,0,1,4,3,1,1,2,2,1,20830,0.0,12,2,21.0,3,20,2,10,2,3,2.5,3.0,3.0,2.0,2.6666666666666665,2,4,1
697,55,0,2,2,11,3,5,1,2,4,1,83810,4.0,15,1,23.0,3,19,9,11,3,3,3.0,4.0,3.0,3.0,3.3333333333333335,3,2,4
698,56,0,2,2,3,2,3,0,3,4,2,26910,6.0,16,1,36.0,6,7,7,7,3,3,3.0,4.0,2.0,3.0,3.0,3,4,2
699,40,0,0,1,1,1,1,1,1,2,0,42860,9.0,15,0,6.0,6,4,0,0,3,3,3.0,3.0,3.0,3.0,3.0,1,4,3
700,34,0,2,1,3,2,5,1,2,5,0,26590,0.0,24,3,10.0,2,9,1,6,3,4,3.5,4.0,4.0,2.0,3.3333333333333335,1,4,2
701,40,0,2,2,4,3,3,1,2,7,2,94340,1.0,13,1,9.0,3,9,8,8,2,3,2.5,3.0,4.0,3.0,3.3333333333333335,1,4,4
702,41,0,1,2,1,4,4,0,2,0,0,55610,0.0,11,0,10.0,2,9,1,7,2,3,2.5,3.0,1.0,3.0,2.3333333333333335,2,4,3
703,35,0,1,2,1,2,5,1,2,3,2,66460,1.0,13,1,9.0,2,9,1,1,2,3,2.5,3.0,3.0,3.0,3.0,1,4,4
704,51,0,2,2,18,2,1,1,4,4,0,77250,1.0,13,1,33.0,2,33,0,10,3,3,3.0,3.0,2.0,3.0,2.6666666666666665,3,2,4
705,38,0,2,2,2,4,1,0,1,6,0,107250,3.0,18,0,11.0,5,7,1,7,2,3,2.5,2.0,1.0,3.0,2.0,1,4,5
706,34,0,2,2,4,3,1,1,2,6,2,88470,1.0,16,0,10.0,3,10,9,6,4,3,3.5,3.0,1.0,4.0,2.6666666666666665,1,4,4
707,25,0,2,1,6,2,3,0,4,6,1,20450,3.0,19,0,7.0,3,3,1,2,3,3,3.0,4.0,4.0,2.0,3.3333333333333335,0,3,1
708,58,1,2,2,1,4,5,1,2,7,1,10090,7.0,13,2,31.0,3,10,5,9,4,3,3.5,3.0,1.0,2.0,2.0,3,4,1
709,40,0,2,1,14,4,3,0,1,6,1,33480,3.0,22,0,7.0,2,4,0,3,1,4,2.5,2.0,2.0,3.0,2.3333333333333335,1,2,2
710,36,0,1,2,16,2,1,1,1,6,1,12810,2.0,11,0,17.0,2,15,6,13,3,3,3.0,1.0,1.0,2.0,1.3333333333333333,1,2,1
711,48,0,2,1,2,1,1,1,2,6,2,28190,1.0,20,0,11.0,2,10,0,8,2,4,3.0,4.0,4.0,3.0,3.6666666666666665,2,4,2
712,27,0,2,1,2,3,1,0,2,2,1,48510,8.0,18,0,5.0,2,1,0,0,3,3,3.0,3.0,4.0,3.0,3.3333333333333335,0,4,3
713,51,0,2,1,4,1,3,0,3,4,2,40280,3.0,14,0,29.0,3,5,0,3,3,3,3.0,4.0,2.0,2.0,2.6666666666666665,3,4,3
714,18,0,0,1,1,4,3,1,2,7,2,27200,1.0,22,1,0.0,2,0,0,0,3,4,3.5,4.0,4.0,4.0,4.0,4,4,2
715,35,0,2,1,1,4,4,0,2,5,1,81200,0.0,13,0,10.0,2,9,0,0,2,3,2.5,4.0,4.0,3.0,3.6666666666666665,1,4,4
716,27,0,1,1,26,4,3,0,1,5,2,46470,3.0,17,0,8.0,3,6,0,0,4,3,3.5,4.0,4.0,3.0,3.6666666666666665,0,1,3
717,55,1,2,1,19,3,5,1,1,1,2,46800,6.0,14,3,24.0,0,19,3,8,4,3,3.5,1.0,3.0,2.0,2.0,3,2,3
718,56,0,2,1,24,4,1,1,2,2,1,32210,4.0,15,2,33.0,2,19,15,9,3,3,3.0,4.0,2.0,3.0,3.0,3,1,2
719,34,0,0,2,1,2,1,1,2,6,0,86210,1.0,17,1,5.0,1,5,0,0,3,3,3.0,1.0,3.0,3.0,2.3333333333333335,1,4,4
720,40,0,2,1,3,3,1,1,2,7,0,45770,5.0,11,1,15.0,3,12,11,8,2,3,2.5,2.0,3.0,3.0,2.6666666666666665,1,4,3
721,34,0,2,1,5,3,1,1,1,6,1,45530,4.0,18,1,10.0,2,8,7,7,4,3,3.5,2.0,3.0,3.0,2.6666666666666665,1,4,3
722,31,1,1,1,2,2,3,0,2,4,2,53960,7.0,17,1,3.0,2,1,0,0,1,3,2.0,3.0,4.0,4.0,3.6666666666666665,1,4,3
723,35,1,1,1,1,2,3,1,1,4,1,67960,0.0,13,0,5.0,2,4,3,2,3,3,3.0,4.0,3.0,2.0,3.0,1,4,4
724,38,0,1,1,7,3,3,0,2,8,0,76250,1.0,15,0,4.0,2,4,0,3,2,3,2.5,4.0,3.0,3.0,3.3333333333333335,1,3,4
725,34,0,2,1,10,4,4,0,2,2,2,74120,1.0,24,0,14.0,4,14,4,11,3,4,3.5,3.0,4.0,4.0,3.6666666666666665,1,3,4
726,28,0,2,1,2,3,1,0,2,0,1,111590,1.0,12,0,5.0,2,5,0,4,3,3,3.0,3.0,1.0,3.0,2.3333333333333335,0,4,5
727,31,1,2,1,15,2,1,1,2,7,1,49600,1.0,15,0,10.0,3,10,6,7,2,3,2.5,4.0,3.0,2.0,3.0,1,2,3
728,39,0,2,1,17,4,5,0,2,0,1,104750,3.0,11,1,8.0,3,5,1,4,3,3,3.0,1.0,4.0,4.0,3.0,1,2,5
729,51,0,1,1,20,3,3,1,2,7,1,148140,2.0,11,1,14.0,2,4,3,2,2,3,2.5,2.0,2.0,3.0,2.3333333333333335,3,2,5
730,41,0,1,1,1,3,1,1,4,7,0,191410,3.0,12,1,12.0,2,6,3,3,3,3,3.0,4.0,4.0,2.0,3.3333333333333335,2,4,5
731,37,0,2,1,2,2,3,0,1,0,1,54050,7.0,15,0,8.0,3,6,1,3,4,3,3.5,3.0,3.0,3.0,3.0,1,4,3
732,33,0,1,1,2,3,3,0,1,7,1,87930,6.0,17,0,8.0,2,5,1,2,3,3,3.0,2.0,4.0,4.0,3.3333333333333335,1,4,4
733,32,0,2,1,1,4,3,1,5,5,1,191890,0.0,12,1,4.0,3,3,1,2,3,3,3.0,3.0,2.0,2.0,2.3333333333333335,1,4,5
734,39,0,0,1,29,2,1,1,2,7,1,38750,3.0,15,0,13.0,3,6,0,5,3,3,3.0,3.0,3.0,3.0,3.0,1,1,3
735,25,0,2,1,7,4,1,1,1,7,1,22160,2.0,13,3,6.0,2,3,1,2,2,3,2.5,1.0,3.0,2.7614364135407135,2.2538121378469045,0,3,1
736,52,0,1,1,2,1,1,1,2,7,1,117130,2.0,14,0,24.0,2,5,0,2,3,3,3.0,4.0,3.0,2.0,3.0,3,4,5
737,43,0,2,1,2,2,3,1,1,2,2,78610,1.0,14,2,20.0,1,20,1,8,3,3,3.0,1.0,3.0,1.0,1.6666666666666667,2,4,4
738,27,0,2,1,2,4,1,1,1,1,1,37080,1.0,16,2,6.0,2,6,4,4,3,3,3.0,4.0,4.0,3.0,3.6666666666666665,0,4,3
739,27,1,2,1,2,5,1,0,1,6,2,137700,1.0,18,1,8.0,3,8,7,7,4,3,3.5,4.0,3.0,3.0,3.3333333333333335,0,4,5
740,26,0,2,1,2,2,4,1,3,2,2,53040,0.0,20,1,5.0,2,4,1,1,3,4,3.5,1.0,4.0,3.0,2.6666666666666665,0,4,3
741,42,0,2,2,23,3,2,0,3,6,1,26420,0.0,13,1,21.0,3,20,0,9,3,3,3.0,3.0,1.0,3.0,2.3333333333333335,2,1,2
742,52,0,2,1,5,2,1,0,1,0,1,27590,9.0,18,1,12.0,6,5,0,4,3,3,3.0,3.0,1.0,1.0,1.6666666666666667,3,4,2
743,37,0,2,1,20,5,1,1,2,3,2,68040,4.0,13,1,8.0,1,3,0,2,3,3,3.0,1.0,3.0,3.0,2.3333333333333335,1,2,4
744,35,0,1,1,6,4,3,0,2,5,2,61420,2.0,15,1,10.0,2,2,2,2,3,3,3.0,3.0,4.0,3.0,3.3333333333333335,1,3,4
745,25,0,2,1,1,4,3,1,2,7,1,25000,4.0,14,2,7.0,2,3,0,2,1,3,2.0,1.0,4.0,2.0,2.3333333333333335,0,4,2
746,26,0,2,1,29,4,1,1,1,6,2,63890,0.0,22,0,8.0,2,7,0,7,2,4,3.0,3.0,1.0,3.0,2.3333333333333335,0,1,4
747,29,0,2,2,9,3,1,1,1,2,2,111030,1.0,12,0,10.0,5,10,0,9,2,3,2.5,2.0,1.0,2.0,1.6666666666666667,0,3,5
748,49,1,1,2,6,5,3,0,2,0,2,23420,3.0,18,0,20.0,2,4,1,3,3,3,3.0,1.0,1.0,3.0,1.6666666666666667,2,3,1
749,29,1,1,2,3,2,2,0,2,2,2,68110,0.0,15,1,9.0,2,8,7,7,3,3,3.0,3.0,4.0,3.0,3.3333333333333335,0,4,4
750,54,0,2,2,1,3,3,0,2,3,2,22970,6.0,18,2,29.0,2,20,12,7,2,3,2.5,4.0,4.0,2.0,3.3333333333333335,3,4,1
751,58,0,2,2,22,3,1,0,2,2,1,24500,3.0,12,1,32.0,2,9,1,5,3,3,3.0,4.0,1.0,3.0,2.6666666666666665,3,1,1
752,55,0,2,1,7,3,1,0,3,6,0,50930,2.0,16,1,31.0,3,7,0,0,3,3,3.0,2.0,4.0,4.0,3.3333333333333335,3,3,3
753,36,0,2,1,1,3,3,1,2,7,2,53090,3.0,13,0,15.0,5,5,0,1,3,3,3.0,1.0,2.0,3.0,2.0,1,4,3
754,31,1,1,2,4,3,1,1,2,3,2,30570,1.0,19,0,1.0,3,1,0,0,3,3,3.0,2.0,3.0,3.0,2.6666666666666665,1,4,2
755,30,0,2,2,3,3,1,1,3,7,0,51210,7.0,13,0,8.0,4,3,0,2,3,3,3.0,4.0,1.0,3.0,2.6666666666666665,0,4,3
756,31,0,2,1,1,3,3,1,1,2,2,168560,3.0,12,1,9.0,3,3,1,0,3,3,3.0,1.0,2.0,4.0,2.3333333333333335,1,4,5
757,34,0,1,2,2,1,2,0,5,3,0,26860,5.0,11,0,10.0,3,4,1,3,4,3,3.5,4.0,1.0,3.0,2.6666666666666665,1,4,2
758,31,1,2,2,20,3,5,1,1,6,2,61800,1.0,14,1,1.0,2,1,0,0,1,3,2.0,1.0,2.0,4.0,2.3333333333333335,1,2,4
759,27,0,2,0,11,4,3,1,4,7,1,66320,0.0,16,0,6.0,3,5,1,4,3,3,3.0,2.0,1.0,4.0,2.3333333333333335,0,2,4
760,36,0,2,2,1,3,2,1,2,6,2,35050,1.0,12,2,10.0,2,10,1,8,2,3,2.5,1.0,4.0,2.0,2.3333333333333335,1,4,3
761,36,0,2,1,24,3,4,0,3,5,1,63970,4.0,14,1,11.0,3,3,0,2,3,3,3.0,3.0,1.0,2.0,2.0,1,1,4
762,47,0,2,1,23,4,1,0,2,7,1,62740,7.0,14,2,17.0,0,6,1,2,3,3,3.0,1.0,4.0,2.0,2.3333333333333335,2,1,4
763,25,1,2,2,16,4,1,1,2,6,1,198590,3.0,19,0,6.0,3,3,2,2,2,3,2.5,1.0,1.0,3.0,1.6666666666666667,0,2,5
764,37,0,0,2,8,4,3,1,1,0,2,75870,0.0,22,1,7.0,5,6,1,3,3,4,3.5,3.0,3.0,1.0,2.3333333333333335,1,3,4
765,56,0,2,1,10,4,4,1,2,8,1,42580,2.0,16,0,5.0,2,3,1,0,3,3,3.0,1.0,1.0,4.0,2.0,3,3,3
766,47,0,2,1,3,2,3,1,2,2,1,43640,3.0,11,1,26.0,3,20,5,6,3,3,3.0,1.0,3.0,4.0,2.6666666666666665,2,4,3
767,24,0,2,1,5,1,4,1,1,4,1,43350,1.0,15,1,5.0,5,5,0,3,3,3,3.0,4.0,3.0,3.0,3.3333333333333335,0,4,3
768,32,0,2,2,4,3,2,1,1,6,1,53260,4.0,14,1,7.0,2,4,0,3,3,3,3.0,4.0,4.0,2.0,3.3333333333333335,1,4,3
769,34,0,2,1,9,2,3,1,1,7,1,32800,5.0,13,0,7.0,3,5,0,2,3,3,3.0,4.0,2.0,2.0,2.6666666666666665,1,3,2
770,41,0,2,1,26,3,3,0,3,7,1,54850,2.0,17,2,7.0,2,4,0,3,3,3,3.0,2.0,3.0,2.0,2.3333333333333335,2,1,3
771,40,0,0,2,3,2,1,1,1,7,0,43420,3.0,11,1,11.0,6,8,0,7,2,3,2.5,3.0,3.0,4.0,3.3333333333333335,1,4,3
772,31,0,2,1,16,3,3,1,2,1,0,27820,1.0,19,1,13.0,5,13,9,9,3,3,3.0,1.0,4.0,3.0,2.6666666666666665,1,2,2
773,46,1,2,1,18,1,3,1,1,4,0,59800,4.0,11,1,28.0,2,7,4,3,3,3,3.0,1.0,4.0,4.0,3.0,2,2,3
774,39,1,0,1,2,4,3,1,2,4,2,43810,2.0,15,2,11.0,1,1,0,0,2,3,2.5,1.0,1.0,4.0,2.0,1,4,3
775,31,1,1,2,2,3,3,1,2,7,2,25720,1.0,13,3,10.0,3,10,4,7,3,3,3.0,3.0,2.0,3.0,2.6666666666666665,1,4,2
776,45,0,2,2,10,2,2,1,1,7,0,38330,2.0,14,0,24.0,1,7,0,7,3,3,3.0,2.0,1.0,3.0,2.0,2,3,3
777,31,0,2,1,16,4,1,1,3,1,2,42440,9.0,13,0,8.0,3,3,0,2,3,3,3.0,4.0,2.0,3.0,3.0,1,2,3
778,31,1,1,1,7,4,1,1,1,2,1,65000,6.0,23,1,7.0,5,2,2,2,3,4,3.5,2.0,4.0,1.0,2.3333333333333335,1,3,4
779,45,0,2,1,1,2,1,0,1,6,1,184300,4.0,12,1,10.0,5,3,1,2,3,3,3.0,2.0,4.0,4.0,3.3333333333333335,2,4,5
780,48,0,2,1,24,3,5,1,2,6,0,16010,4.0,12,0,15.0,3,2,2,2,3,3,3.0,3.0,1.0,3.0,2.3333333333333335,2,1,1
781,34,1,2,1,7,4,3,1,2,6,1,26940,1.0,16,1,2.0,3,2,2,2,3,3,3.0,1.0,3.0,3.0,2.3333333333333335,1,3,2
782,40,0,0,1,25,4,4,0,1,7,0,31490,2.0,15,1,16.0,1,9,4,8,2,3,2.5,4.0,2.0,3.0,3.0,1,1,2
783,28,0,2,1,1,2,5,0,1,6,2,176390,0.0,13,1,6.0,0,5,1,3,3,3,3.0,4.0,1.0,3.0,2.6666666666666665,0,4,5
784,44,0,0,1,5,3,1,1,1,2,2,23190,3.0,18,0,7.0,4,5,0,3,2,3,2.5,3.0,3.0,3.0,3.0,2,4,1
785,53,0,2,1,2,4,5,1,2,3,2,116910,4.0,20,0,35.0,2,9,8,8,3,4,3.5,4.0,2.0,2.0,2.6666666666666665,3,4,5
786,49,0,2,1,7,3,1,1,3,2,1,53240,2.0,19,0,20.0,2,3,1,2,1,3,2.0,1.0,3.0,2.0,2.0,2,3,3
787,40,0,2,1,2,4,1,1,3,2,0,167520,2.0,18,1,8.0,3,3,1,2,3,3,3.0,3.0,3.0,4.0,3.3333333333333335,1,4,5
788,44,0,2,1,5,1,4,1,3,6,2,52280,1.0,13,0,6.0,2,5,1,3,4,3,3.5,4.0,2.0,2.0,2.6666666666666665,2,4,3
789,33,0,1,0,10,3,3,0,2,7,1,27000,0.0,14,3,5.0,2,4,0,3,3,3,3.0,4.0,1.0,3.0,2.6666666666666665,1,3,2
790,34,0,2,1,10,4,1,0,1,8,2,192460,3.0,15,1,15.0,5,13,3,12,3,3,3.0,4.0,1.0,3.0,2.6666666666666665,1,3,5
